url,label,source
freecodecamp.org/donate,0,manual
twitter.com/ossia,0,manual
accounts.google.com/AccountChooser?Email=3Dpilarpineirop,0,manual
myaccount.google.com/alert/nt/167334,0,manual
myaccount.google.com/alert/nt/1673349710000?rfn%3D325%26rfnc%3D1%26,0,manual
click.connect.justeattakeaway.com/subscription_center.aspx?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJtaWQiOiI1MTUwMTA3NDYiLCJzIjoiNTQ2NDEyNjciLCJsaWQiOiIyMSIsImoiOiIxNDMzODc3IiwiamIiOiIyMTA1OCIsImQiOiIxMDAxODQifQ.c4r6yaWQMpEISnwRJqZzFJjC4yNq-KIIuwZL-xDh9PI>,0,manual
click.connect.justeattakeaway.com/?qs=d9e3fd581420d3ca50f8aeb8ee66f0ed3a6d2ee6c8abf377a960599e760687bef3d527e6a5004cea3dc66be6aada071e1f93660867e182da5faae787917e697e,0,manual
click.connect.justeattakeaway.com/?qs=d9e3fd581420d3ca7e61d1808254a9f29430f75e16a57e5198e738aaa639d7fd7fbfae4472847179cbc5aed926e1cccbe2a74d04e05cf8fef63a17a5118e1c9e,0,manual
click.connect.justeattakeaway.com/?qs=d9e3fd581420d3caeb310da382cc1607c1f84e2dde54511e266be26b1e4641d61c602774df775e5465ba4a40909fb1c41e6c1156226e71b32d54790438bd53f6,0,manual
cloud.connect.justeattakeaway.com/one-click-unsubscribe?qs=ad33cde32e66cc531728449af21302154da0f7f8876023037ecb150093155a1a7d36981101171f504ce1ebf1157c342da2d516b72cc33d9bd8c27c58f1925d90ddac472722fdda2ffa2b59f45d82c75f72d664ee37b347e97887c77ce2257de307cf0b63290eb88addbfde04d3e43f04ca24b72b74a5c344535da499c91656dd,0,manual
view.connect.justeattakeaway.com/?qs=37fcc76056d025a1407e217a34ebbd7c7ccbb024131423b4399cb7e647672df31ab8073744abb59581e91d8e4094aac4161704b6c8dd5011cb83afc23ce6bff6,0,manual
click.connect.justeattakeaway.com/profile_center.aspx?qs=69daf5de7605cface70a757c60143f4bdc0d503a0b480cb5f3c4a5fe0a32c349893d57a0c394bc0620aaf25c4925b768dd05949129056ef72d4b1099a8e61cb554e9723270dc6ef7,0,manual
w3.org/TR/html4/loose.dtd,0,manual
w3.org/1999/xhtml,0,manual
assets.takeaway.com/crm/fonts/JETSans-Regular.woff,0,manual
